,artist id,artist popularity,genres,name,uri,url
29,1Xyo4u8uXC1ZmMpatF05PJ,89,"['canadian contemporary r&b', 'canadian pop', 'pop', 'pop rap', 'rap']",The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ
30,6sFIWsNpZYqfjUpaCgueju,75,"['canadian pop', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop']",Carly Rae Jepsen,spotify:artist:6sFIWsNpZYqfjUpaCgueju,https://open.spotify.com/artist/6sFIWsNpZYqfjUpaCgueju
31,2qxJFvFYMEDqd7ui6kSAcq,85,"['complextro', 'dance pop', 'edm', 'electro house', 'german techno', 'pop', 'post-teen pop', 'tropical house']",Zedd,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq
32,3NPpFNZtSTHheNBaWC82rB,78,"['modern alternative rock', 'modern rock', 'pop', 'stomp pop']",X Ambassadors,spotify:artist:3NPpFNZtSTHheNBaWC82rB,https://open.spotify.com/artist/3NPpFNZtSTHheNBaWC82rB
33,6Dd3NScHWwnW6obMFbl1BH,78,"['australian pop', 'dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'tropical house']",Daya,spotify:artist:6Dd3NScHWwnW6obMFbl1BH,https://open.spotify.com/artist/6Dd3NScHWwnW6obMFbl1BH
34,3BmGtnKgCSGYIUhmivXKWX,79,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",Kelly Clarkson,spotify:artist:3BmGtnKgCSGYIUhmivXKWX,https://open.spotify.com/artist/3BmGtnKgCSGYIUhmivXKWX
35,5p7f24Rk5HkUZsaS3BLG5F,80,"['dance pop', 'pop', 'post-teen pop']",Hailee Steinfeld,spotify:artist:5p7f24Rk5HkUZsaS3BLG5F,https://open.spotify.com/artist/5p7f24Rk5HkUZsaS3BLG5F
36,02A3cEvlLLCbIMVDrK2GHV,65,['aussietronica'],Starley,spotify:artist:02A3cEvlLLCbIMVDrK2GHV,https://open.spotify.com/artist/02A3cEvlLLCbIMVDrK2GHV
37,2wY79sveU1sp5g7SokKOiI,91,"['pop', 'uk pop']",Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI
38,2kucQ9jQwuD8jWdtR9Ef38,74,"['contemporary country', 'country pop']",Sam Hunt,spotify:artist:2kucQ9jQwuD8jWdtR9Ef38,https://open.spotify.com/artist/2kucQ9jQwuD8jWdtR9Ef38
40,7qG3b048QCHVRO5Pv1T5lw,80,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",Enrique Iglesias,spotify:artist:7qG3b048QCHVRO5Pv1T5lw,https://open.spotify.com/artist/7qG3b048QCHVRO5Pv1T5lw
41,738wLrAtLtCtFOLvQBXOXp,85,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop']",Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,https://open.spotify.com/artist/738wLrAtLtCtFOLvQBXOXp
42,2KsP6tYLJlTBvSUxnwlVWa,75,"['dance pop', 'pop', 'pop rap']",Mike Posner,spotify:artist:2KsP6tYLJlTBvSUxnwlVWa,https://open.spotify.com/artist/2KsP6tYLJlTBvSUxnwlVWa
44,0TnOYISbd1XYRBk9myaseg,84,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",Pitbull,spotify:artist:0TnOYISbd1XYRBk9myaseg,https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg
45,4VMYDCV2IEDYJArk749S6m,94,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",Daddy Yankee,spotify:artist:4VMYDCV2IEDYJArk749S6m,https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m
47,5CCwRZC6euC8Odo6y9X8jr,83,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",Rita Ora,spotify:artist:5CCwRZC6euC8Odo6y9X8jr,https://open.spotify.com/artist/5CCwRZC6euC8Odo6y9X8jr
49,0jnsk9HBra6NMjO2oANoPY,80,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",Flo Rida,spotify:artist:0jnsk9HBra6NMjO2oANoPY,https://open.spotify.com/artist/0jnsk9HBra6NMjO2oANoPY
50,3FUY2gzHeIiaesXtOAdB7A,77,"['neo mellow', 'pop', 'pop rock']",Train,spotify:artist:3FUY2gzHeIiaesXtOAdB7A,https://open.spotify.com/artist/3FUY2gzHeIiaesXtOAdB7A
51,5pKCCKE2ajJHZ9KAiaK11H,90,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H
52,1KCSPY1glIKqW2TotWuXOR,85,"['dance pop', 'pop', 'post-teen pop']",P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR
54,1vCWHaC5f2uS3yhpwWbIA6,86,"['big room', 'edm', 'pop']",Avicii,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6
55,2gsggkzM5R49q6jpPvazou,76,"['australian pop', 'dance pop', 'pop', 'pop rap', 'post-teen pop', 'uk pop', 'viral pop']",Jessie J,spotify:artist:2gsggkzM5R49q6jpPvazou,https://open.spotify.com/artist/2gsggkzM5R49q6jpPvazou
56,4QVBYiagIaa6ZGSPMbybpy,83,"['latin pop', 'puerto rican pop']",Pedro Capó,spotify:artist:4QVBYiagIaa6ZGSPMbybpy,https://open.spotify.com/artist/4QVBYiagIaa6ZGSPMbybpy
57,1bT7m67vi78r2oqvxrP3X5,66,['uk contemporary r&b'],Naughty Boy,spotify:artist:1bT7m67vi78r2oqvxrP3X5,https://open.spotify.com/artist/1bT7m67vi78r2oqvxrP3X5
58,7bXgB6jMjp9ATFy66eO08Z,92,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z
59,2wUjUUtkb5lvLKcGKsKqsR,83,"['canadian contemporary r&b', 'dance pop', 'pop', 'post-teen pop', 'uk pop']",Alessia Cara,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR,https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR
61,2AQjGvtT0pFYfxR3neFcvz,69,"['dance pop', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'r&b', 'urban contemporary']",Jordin Sparks,spotify:artist:2AQjGvtT0pFYfxR3neFcvz,https://open.spotify.com/artist/2AQjGvtT0pFYfxR3neFcvz
63,07YZf4WDAMNwqr4jfgOZ8y,82,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y
64,1HY2Jd0NmPuamShAr6KMms,87,"['dance pop', 'pop']",Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms
65,7dGJo4pcD2V6oG8kP0tJRR,93,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
66,6MF9fzBmfXghAz953czmBC,72,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']",Taio Cruz,spotify:artist:6MF9fzBmfXghAz953czmBC,https://open.spotify.com/artist/6MF9fzBmfXghAz953czmBC
67,2ZRQcIgzPCVaT9XKhXZIzh,80,"['dance pop', 'edm', 'electro house', 'pop', 'pop edm', 'tropical house']",Gryffin,spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh,https://open.spotify.com/artist/2ZRQcIgzPCVaT9XKhXZIzh
