,ranking,band_singer,song,songurl,titletext,url,year,0
1120,21,Busta Rhymes,Look at Me Now,/wiki/Look_at_Me_Now_(Chris_Brown_song),Look at Me Now,/wiki/Busta_Rhymes,2011,21
1121,22,Jeremih,Down on Me,/wiki/Down_on_Me_(Jeremih_song),Down on Me,/wiki/Jeremih,2011,22
1121,22,50 Cent,Down on Me,/wiki/Down_on_Me_(Jeremih_song),Down on Me,/wiki/50_Cent,2011,22
1122,23,Lil Wayne,How to Love,/wiki/How_to_Love,How to Love,/wiki/Lil_Wayne,2011,23
1123,24,Adele,Someone Like You,/wiki/Someone_Like_You_(Adele_song),Someone Like You,/wiki/Adele,2011,24
1124,25,OneRepublic,Good Life,/wiki/Good_Life_(OneRepublic_song),Good Life,/wiki/OneRepublic,2011,25
1125,26,Bruno Mars,The Lazy Song,/wiki/The_Lazy_Song,The Lazy Song,/wiki/Bruno_Mars,2011,26
1126,27,Britney Spears,Till the World Ends,/wiki/Till_the_World_Ends,Till the World Ends,/wiki/Britney_Spears,2011,27
1127,28,Lupe Fiasco,The Show Goes On,/wiki/The_Show_Goes_On_(song),The Show Goes On,/wiki/Lupe_Fiasco,2011,28
1128,29,Lady Gaga,The Edge of Glory,/wiki/The_Edge_of_Glory,The Edge of Glory,/wiki/Lady_Gaga,2011,29
1129,30,Kesha,We R Who We R,/wiki/We_R_Who_We_R,We R Who We R,/wiki/Kesha,2011,30
1130,31,Wiz Khalifa,Black and Yellow,/wiki/Black_and_Yellow,Black and Yellow,/wiki/Wiz_Khalifa,2011,31
1131,32,Hot Chelle Rae,Tonight Tonight,/wiki/Tonight_Tonight_(Hot_Chelle_Rae_song),Tonight Tonight,/wiki/Hot_Chelle_Rae,2011,32
1132,33,Kesha,Blow,/wiki/Blow_(Kesha_song),Blow,/wiki/Kesha,2011,33
1133,34,Bad Meets Evil,Lighters,/wiki/Lighters_(song),Lighters,/wiki/Bad_Meets_Evil,2011,34
1133,34,Bruno Mars,Lighters,/wiki/Lighters_(song),Lighters,/wiki/Bruno_Mars,2011,34
1134,35,The Band Perry,If I Die Young,/wiki/If_I_Die_Young,If I Die Young,/wiki/The_Band_Perry,2011,35
1135,36,Gym Class Heroes,Stereo Hearts,/wiki/Stereo_Hearts,Stereo Hearts,/wiki/Gym_Class_Heroes,2011,36
1135,36,Adam Levine,Stereo Hearts,/wiki/Stereo_Hearts,Stereo Hearts,/wiki/Adam_Levine,2011,36
1136,37,The Black Eyed Peas,The Time (Dirty Bit),/wiki/The_Time_(Dirty_Bit),The Time (Dirty Bit),/wiki/The_Black_Eyed_Peas,2011,37
1137,38,Diddy – Dirty Money,Coming Home,/wiki/Coming_Home_(Diddy_%E2%80%93_Dirty_Money_song),Coming Home,/wiki/Diddy_%E2%80%93_Dirty_Money,2011,38
1137,38,Skylar Grey,Coming Home,/wiki/Coming_Home_(Diddy_%E2%80%93_Dirty_Money_song),Coming Home,/wiki/Skylar_Grey,2011,38
1138,39,Pitbull,Hey Baby (Drop It to the Floor),/wiki/Hey_Baby_(Drop_It_to_the_Floor),Hey Baby (Drop It to the Floor),/wiki/Pitbull_(rapper),2011,39
1138,39,T-Pain,Hey Baby (Drop It to the Floor),/wiki/Hey_Baby_(Drop_It_to_the_Floor),Hey Baby (Drop It to the Floor),/wiki/T-Pain,2011,39
1139,40,Rihanna,Only Girl (In the World),/wiki/Only_Girl_(In_the_World),Only Girl (In the World),/wiki/Rihanna,2011,40
1140,41,Lil Wayne,6 Foot 7 Foot,/wiki/6_Foot_7_Foot,6 Foot 7 Foot,/wiki/Lil_Wayne,2011,41
1140,41,Cory Gunz,6 Foot 7 Foot,/wiki/6_Foot_7_Foot,6 Foot 7 Foot,/wiki/Cory_Gunz,2011,41
1141,42,Lady Antebellum,Just a Kiss,/wiki/Just_a_Kiss_(song),Just a Kiss,/wiki/Lady_Antebellum,2011,42
1142,43,Jason Aldean,Dirt Road Anthem,/wiki/Dirt_Road_Anthem,Dirt Road Anthem,/wiki/Jason_Aldean,2011,43
1143,44,Taio Cruz,Dynamite,/wiki/Dynamite_(Taio_Cruz_song),Dynamite,/wiki/Taio_Cruz,2011,44
1144,45,Waka Flocka Flame,No Hands,/wiki/No_Hands,No Hands,/wiki/Waka_Flocka_Flame,2011,45
1144,45,Wale,No Hands,/wiki/No_Hands,No Hands,/wiki/Wale_(rapper),2011,45
1144,45,Roscoe Dash,No Hands,/wiki/No_Hands,No Hands,/wiki/Roscoe_Dash,2011,45
1145,46,Britney Spears,I Wanna Go,/wiki/I_Wanna_Go,I Wanna Go,/wiki/Britney_Spears,2011,46
1146,47,DJ Khaled,I'm on One,/wiki/I%27m_on_One,I'm on One,/wiki/DJ_Khaled,2011,47
1146,47,Drake,I'm on One,/wiki/I%27m_on_One,I'm on One,/wiki/Drake_(musician),2011,47
1146,47,Rick Ross,I'm on One,/wiki/I%27m_on_One,I'm on One,/wiki/Rick_Ross,2011,47
1146,47,Lil Wayne,I'm on One,/wiki/I%27m_on_One,I'm on One,/wiki/Lil_Wayne,2011,47
1147,48,Cobra Starship,You Make Me Feel...,/wiki/You_Make_Me_Feel...,You Make Me Feel...,/wiki/Cobra_Starship,2011,48
1147,48,Sabi,You Make Me Feel...,/wiki/You_Make_Me_Feel...,You Make Me Feel...,/wiki/Sabi_(singer),2011,48
1148,49,Chris Brown,Yeah 3x,/wiki/Yeah_3x,Yeah 3x,/wiki/Chris_Brown,2011,49
1149,50,Nicki Minaj,Moment 4 Life,/wiki/Moment_4_Life,Moment 4 Life,/wiki/Nicki_Minaj,2011,50
1149,50,Drake,Moment 4 Life,/wiki/Moment_4_Life,Moment 4 Life,/wiki/Drake_(musician),2011,50
1150,51,Dr. Dre,I Need a Doctor,/wiki/I_Need_a_Doctor,I Need a Doctor,/wiki/Dr._Dre,2011,51
1150,51,Eminem,I Need a Doctor,/wiki/I_Need_a_Doctor,I Need a Doctor,/wiki/Eminem,2011,51
1150,51,Skylar Grey,I Need a Doctor,/wiki/I_Need_a_Doctor,I Need a Doctor,/wiki/Skylar_Grey,2011,51
1151,52,Nelly,Just a Dream,/wiki/Just_a_Dream_(Nelly_song),Just a Dream,/wiki/Nelly,2011,52
1152,53,Kelly Rowland,Motivation,/wiki/Motivation_(Kelly_Rowland_song),Motivation,/wiki/Kelly_Rowland,2011,53
1152,53,Lil Wayne,Motivation,/wiki/Motivation_(Kelly_Rowland_song),Motivation,/wiki/Lil_Wayne,2011,53
1153,54,Edward Maya,Stereo Love,/wiki/Stereo_Love,Stereo Love,/wiki/Edward_Maya,2011,54
1153,54,Vika Jigulina,Stereo Love,/wiki/Stereo_Love,Stereo Love,/wiki/Vika_Jigulina,2011,54
1154,55,Christina Perri,Jar of Hearts,/wiki/Jar_of_Hearts,Jar of Hearts,/wiki/Christina_Perri,2011,55
1155,56,Wiz Khalifa,Roll Up,/wiki/Roll_Up,Roll Up,/wiki/Wiz_Khalifa,2011,56
1156,57,LMFAO,Sexy and I Know It,/wiki/Sexy_and_I_Know_It,Sexy and I Know It,/wiki/LMFAO,2011,57
1157,58,Far East Movement,Rocketeer,/wiki/Rocketeer_(song),Rocketeer,/wiki/Far_East_Movement,2011,58
1157,58,Ryan Tedder,Rocketeer,/wiki/Rocketeer_(song),Rocketeer,/wiki/Ryan_Tedder,2011,58
1158,59,Kanye West,All of the Lights,/wiki/All_of_the_Lights,All of the Lights,/wiki/Kanye_West,2011,59
1158,59,Rihanna,All of the Lights,/wiki/All_of_the_Lights,All of the Lights,/wiki/Rihanna,2011,59
1159,60,Britney Spears,Hold It Against Me,/wiki/Hold_It_Against_Me,Hold It Against Me,/wiki/Britney_Spears,2011,60
1160,61,Usher,More,/wiki/More_(Usher_song),More,/wiki/Usher_(musician),2011,61
1161,62,Avril Lavigne,What the Hell,/wiki/What_the_Hell,What the Hell,/wiki/Avril_Lavigne,2011,62
1162,63,Tinie Tempah,Written in the Stars,/wiki/Written_in_the_Stars_(Tinie_Tempah_song),Written in the Stars,/wiki/Tinie_Tempah,2011,63
1162,63,Eric Turner,Written in the Stars,/wiki/Written_in_the_Stars_(Tinie_Tempah_song),Written in the Stars,/wiki/Eric_Turner_(singer),2011,63
1163,64,Trey Songz,Bottoms Up,/wiki/Bottoms_Up_(Trey_Songz_song),Bottoms Up,/wiki/Trey_Songz,2011,64
1163,64,Nicki Minaj,Bottoms Up,/wiki/Bottoms_Up_(Trey_Songz_song),Bottoms Up,/wiki/Nicki_Minaj,2011,64
1164,65,Usher,DJ Got Us Fallin' in Love,/wiki/DJ_Got_Us_Fallin%27_in_Love,DJ Got Us Fallin' in Love,/wiki/Usher_(musician),2011,65
1164,65,Pitbull,DJ Got Us Fallin' in Love,/wiki/DJ_Got_Us_Fallin%27_in_Love,DJ Got Us Fallin' in Love,/wiki/Pitbull_(rapper),2011,65
1165,66,The Script,For the First Time,/wiki/For_the_First_Time_(The_Script_song),For the First Time,/wiki/The_Script,2011,66
1166,67,Blake Shelton,Honey Bee,/wiki/Honey_Bee_(Blake_Shelton_song),Honey Bee,/wiki/Blake_Shelton,2011,67
1167,68,Jason Aldean,Don't You Wanna Stay,/wiki/Don%27t_You_Wanna_Stay,Don't You Wanna Stay,/wiki/Jason_Aldean,2011,68
1167,68,Kelly Clarkson,Don't You Wanna Stay,/wiki/Don%27t_You_Wanna_Stay,Don't You Wanna Stay,/wiki/Kelly_Clarkson,2011,68
1168,69,Rihanna,We Found Love,/wiki/We_Found_Love,We Found Love,/wiki/Rihanna,2011,69
1168,69,Calvin Harris,We Found Love,/wiki/We_Found_Love,We Found Love,/wiki/Calvin_Harris,2011,69
1169,70,Keri Hilson,Pretty Girl Rock,/wiki/Pretty_Girl_Rock,Pretty Girl Rock,/wiki/Keri_Hilson,2011,70
1170,71,Lady Gaga,Yoü and I,/wiki/You_and_I_(Lady_Gaga_song),Yoü and I,/wiki/Lady_Gaga,2011,71
1171,72,Far East Movement,Like a G6,/wiki/Like_a_G6,Like a G6,/wiki/Far_East_Movement,2011,72
1171,72,The Cataracs,Like a G6,/wiki/Like_a_G6,Like a G6,/wiki/The_Cataracs,2011,72
1171,72,Dev,Like a G6,/wiki/Like_a_G6,Like a G6,/wiki/Dev_(singer),2011,72
1172,73,David Guetta,Without You,/wiki/Without_You_(David_Guetta_song),Without You,/wiki/David_Guetta,2011,73
1172,73,Usher,Without You,/wiki/Without_You_(David_Guetta_song),Without You,/wiki/Usher_(musician),2011,73
1173,74,Taylor Swift,Back to December,/wiki/Back_to_December,Back to December,/wiki/Taylor_Swift,2011,74
1174,75,Katy Perry,Teenage Dream,/wiki/Teenage_Dream_(Katy_Perry_song),Teenage Dream,/wiki/Katy_Perry,2011,75
1175,76,Eli Young Band,Crazy Girl,/wiki/Crazy_Girl,Crazy Girl,/wiki/Eli_Young_Band,2011,76
1176,77,Rihanna,Cheers (Drink to That),/wiki/Cheers_(Drink_to_That),Cheers (Drink to That),/wiki/Rihanna,2011,77
1177,78,Selena Gomez & the Scene,Who Says,/wiki/Who_Says_(Selena_Gomez_%26_the_Scene_song),Who Says,/wiki/Selena_Gomez_%26_the_Scene,2011,78
