,album_type,id,image,name,release_date,total_tracks,uri,url
1169,album,5CZR6ljD0x9fTiS4mh9wMp,https://i.scdn.co/image/ab67616d0000b2732519d01c0cca06f134eeadd8,Only By The Night,2008-09-23,11,spotify:album:5CZR6ljD0x9fTiS4mh9wMp,https://open.spotify.com/album/5CZR6ljD0x9fTiS4mh9wMp
1170,album,1ji0b2gTyx4VYtkrbc3XJt,https://i.scdn.co/image/ab67616d0000b2730f3b8df680764642a4858f1d,Battlefield,2009-07-17,12,spotify:album:1ji0b2gTyx4VYtkrbc3XJt,https://open.spotify.com/album/1ji0b2gTyx4VYtkrbc3XJt
1171,album,3v0AeWgJPrdPPZGt1tS2s0,https://i.scdn.co/image/ab67616d0000b273cd05e842d0dc3bde5e949891,All Or Nothing,2009-01-01,14,spotify:album:3v0AeWgJPrdPPZGt1tS2s0,https://open.spotify.com/album/3v0AeWgJPrdPPZGt1tS2s0
1173,album,64aKkqxc3Ur2LYIKeS5osS,https://i.scdn.co/image/86ca2c8ea8b6e4a2892ff32ba8e9cc2c3acd66f5,The Time Of Our Lives,2009-01-01,7,spotify:album:64aKkqxc3Ur2LYIKeS5osS,https://open.spotify.com/album/64aKkqxc3Ur2LYIKeS5osS
1174,single,7DgWDnm9fHDO4Wr1bcFlI3,https://i.scdn.co/image/3ad58bc86ca98c885d620917a9bdae09fe279ade,Run This Town (A Tribute to Jay Z and Rihanna and Kanye West),2013-04-17,1,spotify:album:7DgWDnm9fHDO4Wr1bcFlI3,https://open.spotify.com/album/7DgWDnm9fHDO4Wr1bcFlI3
1175,album,3RPImDZ7Ihh5YR5iJh1gH1,https://i.scdn.co/image/ab952889e138cf6c55341f2719b02393116e0db3,Memoirs of an imperfect Angel,2009-01-01,21,spotify:album:3RPImDZ7Ihh5YR5iJh1gH1,https://open.spotify.com/album/3RPImDZ7Ihh5YR5iJh1gH1
1176,album,773TVtjVxXvD6DFHsWFJGN,https://i.scdn.co/image/ab67616d0000b273f14172867e724e487aac513e,Jason Derulo (Deluxe Audio),2010-03-01,11,spotify:album:773TVtjVxXvD6DFHsWFJGN,https://open.spotify.com/album/773TVtjVxXvD6DFHsWFJGN
1177,single,2TPe7K7wLVKvbjhX6QCvp7,https://i.scdn.co/image/ab67616d0000b2733a98f8d9fb10871e3f1d9c26,Empire State of Mind (Glee Cast Version),2010-09-21,1,spotify:album:2TPe7K7wLVKvbjhX6QCvp7,https://open.spotify.com/album/2TPe7K7wLVKvbjhX6QCvp7
1179,compilation,55UhXq8grzHPga0we8mEL3,https://i.scdn.co/image/126ff584c36818c045294fb2f90310f2d9be2070,More Than A Game,2009-01-01,11,spotify:album:55UhXq8grzHPga0we8mEL3,https://open.spotify.com/album/55UhXq8grzHPga0we8mEL3
1180,compilation,2ti2e8J05nwg9ikcMjW8aS,https://i.scdn.co/image/ab67616d0000b273e2d88ce9b368639664aa7847,The Essential Britney Spears,2014-07-29,32,spotify:album:2ti2e8J05nwg9ikcMjW8aS,https://open.spotify.com/album/2ti2e8J05nwg9ikcMjW8aS
1181,album,3vf65wfk1EEjVhy6BjENsS,https://i.scdn.co/image/bbaca358480e6b8262ff3b92648bd62ab6977f9f,Ocean Eyes,2009-01-01,12,spotify:album:3vf65wfk1EEjVhy6BjENsS,https://open.spotify.com/album/3vf65wfk1EEjVhy6BjENsS
1184,album,034EE1ofh9OM6wJBqd2xYo,https://i.scdn.co/image/ab67616d0000b273eb8bcd7eda9787adb4a977b1,The Fame Monster,2009,8,spotify:album:034EE1ofh9OM6wJBqd2xYo,https://open.spotify.com/album/034EE1ofh9OM6wJBqd2xYo
1185,album,43OpbkiiIxJO8ktIB777Nn,https://i.scdn.co/image/01d0e19a0423ce9e45ccb8727c1b0c9e4cff515c,Fearless Platinum Edition,2008-11-11,19,spotify:album:43OpbkiiIxJO8ktIB777Nn,https://open.spotify.com/album/43OpbkiiIxJO8ktIB777Nn
1186,single,698AdfGuOthKXXvvHla9bf,https://i.scdn.co/image/ab67616d0000b273322b086aec3e63cc7caf30c6,Replay,2009-08-11,1,spotify:album:698AdfGuOthKXXvvHla9bf,https://open.spotify.com/album/698AdfGuOthKXXvvHla9bf
