,acousticness,danceability,duration_ms,energy,explict,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,uri,url,valence,Hit
105,0.16399999999999998,0.425,211866,0.642,False,1snWlbcbgQpJfknoI30DWG,0.0,0.11800000000000001,-5.06,Darkside,74,0.0502,170.00799999999998,spotify:track:1snWlbcbgQpJfknoI30DWG,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG,0.11199999999999999,n
106,0.275,0.504,201799,0.821,False,1etiUDkISHELzQGMY79ryt,0.0,0.0418,-3.3560000000000003,Quarter Past Midnight,69,0.0598,155.131,spotify:track:1etiUDkISHELzQGMY79ryt,https://open.spotify.com/track/1etiUDkISHELzQGMY79ryt,0.45799999999999996,n
107,0.0228,0.6890000000000001,205026,0.8859999999999999,False,0Me1AKVY2wzxOKLMiaAtNy,0.0,0.275,-4.266,Best Fake Smile,53,0.0424,142.017,spotify:track:0Me1AKVY2wzxOKLMiaAtNy,https://open.spotify.com/track/0Me1AKVY2wzxOKLMiaAtNy,0.9359999999999999,n
108,0.13699999999999998,0.648,181812,0.667,False,7DoN0sCGIT9IcLrtBDm4f0,2.1e-05,0.0797,-5.294,Lonely Together (feat. Rita Ora),21,0.065,102.96600000000001,spotify:track:7DoN0sCGIT9IcLrtBDm4f0,https://open.spotify.com/track/7DoN0sCGIT9IcLrtBDm4f0,0.217,n
109,0.6579999999999999,0.653,201000,0.37799999999999995,False,0mel2N9Ws9r4yLQn5QE21Y,0.0,0.177,-8.273,Too Good At Goodbyes - Edit,24,0.0533,91.835,spotify:track:0mel2N9Ws9r4yLQn5QE21Y,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y,0.54,n
110,0.0188,0.483,244293,0.799,False,5hM6sP0Gh1jD57drszNueC,0.0,0.226,-4.567,For You (Fifty Shades Freed) (& Rita Ora),15,0.0366,112.946,spotify:track:5hM6sP0Gh1jD57drszNueC,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC,0.171,n
111,0.0868,0.41200000000000003,250053,0.619,True,2DlIwu1iDTILEMXA7MUotn,2.55e-06,0.4,-6.39,Beautiful Trauma,70,0.0725,95.977,spotify:track:2DlIwu1iDTILEMXA7MUotn,https://open.spotify.com/track/2DlIwu1iDTILEMXA7MUotn,0.23399999999999999,n
112,0.258,0.74,166605,0.613,True,3ee8Jmje8o58CHK66QrVC2,0.00372,0.12300000000000001,-4.88,SAD!,87,0.145,75.023,spotify:track:3ee8Jmje8o58CHK66QrVC2,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,0.473,n
113,0.0975,0.619,221693,0.9009999999999999,False,2EdT0divbyKeaurz7KgPm1,0.0455,0.17800000000000002,-4.173,Remember (with ZOHARA),72,0.0563,123.00200000000001,spotify:track:2EdT0divbyKeaurz7KgPm1,https://open.spotify.com/track/2EdT0divbyKeaurz7KgPm1,0.503,n
114,0.0472,0.757,218234,0.6779999999999999,False,2hgzdQdnfWwtdpZbhZlV72,9.14e-06,0.0654,-5.529,Ain't Your Mama,73,0.233,120.075,spotify:track:2hgzdQdnfWwtdpZbhZlV72,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72,0.82,n
